"id","date","dive_number","boat","dive_guide","dive_site","max_depth","water_temperature","sightings"
10,"2023-09-24",2,"Fin & Tonic","Lenny","Babylon",22,29,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 2}, {""species"" : ""Green Turtle"", ""count"" : 10}, {""species"" : ""Hawksbill Turtle"", ""count"" : 2}, {""species"" : ""Lionfish Alive"", ""count"" : 2}]"
9,"2023-09-24",1,"Fin & Tonic","Lenny","Diamond Rock",25,29,"[{""species"" : ""Roughtail Stingray"", ""count"" : 2}, {""species"" : ""Green Turtle"", ""count"" : 3}]"
12,"2023-09-25",2,"Fin & Tonic","Aaron","Tent Shallow",22,29,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 3}]"
11,"2023-09-25",1,"Fin & Tonic","Josef","Customs House",28,29,"[{""species"" : ""Green Turtle"", ""count"" : 2}, {""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Roughtail Stingray"", ""count"" : 1}]"
8,"2023-09-25",3,"Fin & Tonic","Josef","Man of War Shoals",22,27,"[{""species"" : ""Nassau Grouper"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 1}]"
14,"2023-09-26",2,"Fin & Tonic","Svenja","Big Rock Deep",25,30,"[{""species"" : ""Green Turtle"", ""count"" : 1}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 3}]"
16,"2023-09-29",3,"Fin & Tonic","Otto","Tent Shallow",23,29,"[{""species"" : ""Green Turtle"", ""count"" : 7}, {""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Southern Stingray"", ""count"" : 4}, {""species"" : ""Longspine Sea Urchin"", ""count"" : 4}, {""species"" : ""Lionfish Alive"", ""count"" : 1}]"
15,"2023-09-30",2,"Fin & Tonic","Otto","Abraham's Hole",24,29,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 1}]"
17,"2023-09-30",3,"Shark Bait","Josef","Twilight Zone",36,29,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Longspine Sea Urchin"", ""count"" : 1}]"
18,"2023-09-30",1,"Fin & Tonic","Otto","Customs House",25,29,"[{""species"" : ""Lettuce Sea Slug"", ""count"" : 2}, {""species"" : ""Green Turtle"", ""count"" : 2}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 3}, {""species"" : ""Roughtail Stingray"", ""count"" : 1}, {""species"" : ""Southern Stingray"", ""count"" : 4}, {""species"" : ""Yellowfin Grouper"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 4}]"
19,"2023-09-30",3,"Fin & Tonic","Otto","Ladder Drift",32,29,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 2}, {""species"" : ""Southern Stingray"", ""count"" : 3}, {""species"" : ""Yellowfin Grouper"", ""count"" : 1}, {""species"" : ""Lettuce Sea Slug"", ""count"" : 2}, {""species"" : ""Lionfish Alive"", ""count"" : 7}]"
20,"2023-10-01",1,"Shark Bait","Josef","Third Encounter",31,29,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Longspine Sea Urchin"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 1}]"
21,"2023-10-05",2,"Fin & Tonic","Zachary","Twilight Zone",30,29,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 2}, {""species"" : ""Yellowfin Grouper"", ""count"" : 3}]"
22,"2023-10-06",1,"Fin & Tonic","Richard","Diamond Rock",26,30,"[{""species"" : ""Green Turtle"", ""count"" : 2}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}, {""species"" : ""Nassau Grouper"", ""count"" : 3}, {""species"" : ""Longspine Sea Urchin"", ""count"" : 4}, {""species"" : ""Lionfish Alive"", ""count"" : 3}]"
